#r/webdev (angrywombat)                    : fuck i hate lovich
pretzel (angrywombat)                      : /me roughly pokes his finger, ghoulishly sharpened nails and all, in omfgtora's asshole who is sharing a chocolate covered pretzel with {prev}
puddy1 (angrywombat)                       : puddy1 | is a ragaholic someone addicted to period blood
pussy (angrywombat)                        : @cryptbin | a good clean pussy tastes more like skin to me
python (angrywombat)                       : ROOBY
rektlots (angrywombat)                     : shut the fuck up
restoreops (angrywombat)                   : RESTORE OPS TO THE ONE TRUE GOD
retard (angrywombat)                       : angrywombat dtzitz
retards (angrywombat)                      : Users proficient in retard: Valeness
rolete (angrywombat)                       : http://www.urbandictionary.com/define.php?term=veonik
roll (angrywombat)                         : bakery
rooski (angrywombat)                       : Jardayn | *heavy russian accent* Shifter has the oh pees, all jard abuse is allow to proceedings
roulete (angrywombat)                      : /me has kicked {user} (because you're a fucking retard and can't type)
rtfm (angrywombat)                         : stfu timeshifter
set (angrywombat)                          : Use "!alias add [term] [definition]", you retard.
shart (angrywombat)                        : /me sharts on {prev}
sup (angrywombat)                          : http://i.imgur.com/f1DHjIE.gif
swine (angrywombat)                        : {0} is such a dimwitted swine
tb (angrywombat)                           : /me has aids
tbh (angrywombat)                          : /me has {0}
technically (angrywombat)                  : http://xkcd.org/1475/
tesla (angrywombat)                        : I'M PUSHING AGAINST THE ENTROPY, BUT THE KNITTED CASTLE GROWS http://i.imgur.com/VuNPlRt.png
teslanick (angrywombat)                    : http://i.imgur.com/iAQil.jpg
time (angrywombat)                         : fuck this bot
timeshifteris (angrywombat)                : a cunt
timeshitter (angrywombat)                  : Lovich: fuck you
timeshittertimeshifter> (angrywombat)      : hey, would you mess with a guy who can remotely shut your computer down while you're trying to finish an essay that's due today? ---> http://i.imgur.com/wCScgcL.gif
tinglyasshole (angrywombat)                : timeshifter
tir (angrywombat)                          : no.
tit (angrywombat)                          : what's twisting this bitch's tit?
tora (angrywombat)                         : NSFW: http://i.imgur.com/IvGBaR5.gif
torasux (angrywombat)                      : test {time}
ts (angrywombat)                           : -timeshifter | every time i hear that name i think of deep space 9
val (angrywombat)                          : http://en.wikipedia.org/wiki/Homosexuality
ween (angrywombat)                         : {prev}: weenises are my specialty
ohneat (angrywombat)                       : !
